Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2010-07-19,0.08584,0.09307,0.07723,0.0808
2010-07-20,0.0808,0.08181,0.07426,0.07474
2010-07-21,0.07474,0.07921,0.06634,0.07921
2010-07-22,0.07921,0.08181,0.0505,0.0505
2010-07-23,0.0505,0.06767,0.0505,0.06262
2010-07-26,0.0505,0.056,0.05,0.056
2010-07-27,0.056,0.0605,0.053,0.06
2010-07-28,0.06,0.062,0.054,0.0589
2010-07-29,0.0589,0.0699,0.0571,0.0699
2010-07-30,0.0699,0.0699,0.0582,0.0627
2010-08-02,0.0611,0.0633,0.06,0.06
2010-08-03,0.06,0.065,0.059,0.06
2010-08-04,0.06,0.06231,0.057,0.057
2010-08-05,0.057,0.061,0.057,0.061
2010-08-06,0.061,0.0624,0.0607,0.0623
2010-08-09,0.0609,0.0735,0.0593,0.071
2010-08-10,0.071,0.071,0.06651,0.07
2010-08-11,0.07,0.07541,0.06,0.067
2010-08-12,0.067,0.07,0.06141,0.07
2010-08-13,0.07,0.07,0.0645,0.0645
2010-08-16,0.06529,0.0679,0.062,0.0655
2010-08-17,0.0655,0.0769,0.06243,0.07
2010-08-18,0.07,0.0733,0.067,0.068
2010-08-19,0.068,0.068,0.0667,0.0667
2010-08-20,0.0667,0.0667,0.065,0.0655
2010-08-23,0.066,0.06689,0.063,0.06491
2010-08-24,0.06491,0.0665,0.06491,0.065
2010-08-25,0.065,0.0665,0.0641,0.0648
2010-08-26,0.0648,0.0658,0.064,0.064
2010-08-27,0.064,0.065,0.063,0.065
2010-08-30,0.064,0.069,0.064,0.06497
2010-08-31,0.06497,0.06497,0.06,0.06
2010-09-01,0.06,0.0629,0.05961,0.0629
2010-09-02,0.0629,0.0634,0.0601,0.0634
2010-09-03,0.0634,0.0634,0.06085,0.06085
2010-09-06,0.0616,0.0627,0.0616,0.0616
2010-09-07,0.0616,0.06201,0.0603,0.061
2010-09-08,0.061,0.062,0.06099,0.062
2010-09-09,0.062,0.0624,0.06109,0.06111
2010-09-10,0.06111,0.0618,0.06014,0.0618
2010-09-13,0.0615,0.064,0.0607,0.06219
2010-09-14,0.06219,0.06219,0.061,0.06199
2010-09-15,0.06199,0.0625,0.0604,0.0604
2010-09-16,0.0604,0.0619,0.0604,0.0619
2010-09-17,0.0619,0.0619,0.059,0.059
2010-09-20,0.0627,0.0634,0.062,0.0621
2010-09-21,0.0621,0.0633,0.0621,0.06265
2010-09-22,0.06265,0.06265,0.06147,0.0622
2010-09-23,0.0622,0.063,0.0615,0.06231
2010-09-24,0.06231,0.0624,0.06209,0.0622
2010-09-27,0.062,0.06228,0.0619,0.0622
2010-09-28,0.0622,0.06271,0.0617,0.0619
2010-09-29,0.0619,0.062,0.0615,0.06191
2010-09-30,0.06191,0.06191,0.06155,0.0619
2010-10-01,0.0619,0.062,0.06189,0.06197
2010-10-04,0.06111,0.062,0.06081,0.0613
2010-10-05,0.0613,0.06301,0.0609,0.0614
2010-10-06,0.0614,0.0635,0.0612,0.06281
2010-10-07,0.06281,0.067,0.0628,0.067
2010-10-08,0.067,0.088,0.067,0.08685
2010-10-11,0.0965,0.103,0.091,0.095
2010-10-12,0.095,0.099,0.082,0.0949
2010-10-13,0.0949,0.105,0.092,0.105
2010-10-14,0.105,0.105,0.102,0.102
2010-10-15,0.102,0.119,0.092,0.105
2010-10-18,0.102,0.103,0.097,0.1024
2010-10-19,0.1024,0.1024,0.097,0.097
2010-10-20,0.097,0.103,0.094,0.099
2010-10-21,0.099,0.109,0.097,0.107
2010-10-22,0.107,0.10901,0.1015,0.1025
2010-10-25,0.11501,0.19,0.09009,0.132
2010-10-26,0.132,0.18,0.132,0.1503
2010-10-27,0.1503,0.19,0.1503,0.1877
2010-10-28,0.1877,0.191,0.1731,0.1731
2010-10-29,0.1731,0.19,0.173,0.19
2010-11-01,0.1925,0.1955,0.172,0.1955
2010-11-02,0.1955,0.1955,0.1905,0.1938
2010-11-03,0.1938,0.275,0.1931,0.1931
2010-11-04,0.1931,0.23601,0.1931,0.23
2010-11-05,0.23,0.2639,0.2101,0.26
2010-11-08,0.34,0.37,0.2261,0.243
2010-11-09,0.243,0.323,0.199,0.21
2010-11-10,0.21,0.24,0.21,0.24
2010-11-11,0.24,0.24,0.21,0.2231
2010-11-12,0.2231,0.29,0.223,0.2682
2010-11-15,0.27904,0.2828,0.2682,0.2682
2010-11-16,0.2682,0.275,0.223,0.223
2010-11-17,0.223,0.29,0.2116,0.2299
2010-11-18,0.2299,0.283,0.2221,0.2678
2010-11-19,0.2678,0.28,0.2678,0.28
2010-11-22,0.27675,0.2879,0.269,0.2879
2010-11-23,0.2879,0.2879,0.276,0.28295
2010-11-24,0.28295,0.28299,0.2761,0.28299
2010-11-25,0.28299,0.28299,0.278,0.28
2010-11-26,0.28,0.289,0.27612,0.2844
2010-11-29,0.27,0.279,0.2151,0.2299
2010-11-30,0.2299,0.2299,0.204,0.2082
2010-12-01,0.2082,0.2299,0.2082,0.2275
2010-12-02,0.2275,0.2553,0.218,0.255
2010-12-03,0.255,0.2552,0.243,0.25105
2010-12-06,0.19,0.225,0.1841,0.204
2010-12-07,0.204,0.2477,0.1701,0.233
2010-12-08,0.233,0.24,0.22,0.2388
2010-12-09,0.2388,0.2388,0.1701,0.2
2010-12-10,0.2,0.204,0.18251,0.204
2010-12-13,0.22,0.23,0.21,0.2299
2010-12-14,0.2299,0.2468,0.21,0.24669
2010-12-15,0.24669,0.24669,0.238,0.23801
2010-12-16,0.23801,0.255,0.22221,0.24996
2010-12-17,0.24996,0.24996,0.24,0.24
2010-12-20,0.2401,0.275,0.24,0.267
2010-12-21,0.267,0.267,0.24,0.24
2010-12-22,0.24,0.25,0.24,0.25
2010-12-23,0.25,0.25,0.241,0.25
2010-12-24,0.25,0.25,0.242,0.248
2010-12-27,0.265,0.27,0.251,0.265
2010-12-28,0.265,0.281,0.2612,0.281
2010-12-29,0.281,0.301,0.271,0.3
2010-12-30,0.3,0.3,0.291,0.3
2010-12-31,0.3,0.3,0.292,0.3
2011-01-03,0.29997,0.29997,0.29,0.295
2011-01-04,0.295,0.29987,0.289,0.29895
2011-01-05,0.29895,0.299,0.29004,0.299
2011-01-06,0.299,0.299,0.29,0.298
2011-01-07,0.298,0.322,0.2975,0.32
2011-01-10,0.323,0.329,0.3175,0.32659
2011-01-11,0.32659,0.32659,0.31761,0.32659
2011-01-12,0.32659,0.3557,0.31799,0.3188
2011-01-13,0.3188,0.405,0.3176,0.3176
2011-01-14,0.3176,0.45,0.3176,0.4
2011-01-17,0.38679,0.38679,0.315,0.3495
2011-01-18,0.3495,0.3495,0.305,0.31299
2011-01-19,0.31299,0.31299,0.305,0.31299
2011-01-20,0.31299,0.39,0.31,0.39
2011-01-21,0.39,0.44,0.368,0.41991
2011-01-24,0.4424,0.4424,0.381,0.4199
2011-01-25,0.4199,0.425,0.4,0.41
2011-01-26,0.41,0.42,0.3904,0.417
2011-01-27,0.417,0.45,0.40851,0.4212
2011-01-28,0.4212,0.446,0.4212,0.446
2011-01-31,0.4799,0.95,0.47,0.52
2011-02-01,0.52,0.85,0.52,0.7
2011-02-02,0.7,0.76,0.69,0.716
2011-02-03,0.716,0.75,0.6501,0.69
2011-02-04,0.69,0.88,0.67,0.811
2011-02-07,0.8997,0.9,0.83,0.89
2011-02-08,0.89,0.918,0.8617,0.918
2011-02-09,0.918,1.09,0.82,1.09
2011-02-10,1.09,1.1,0.8,0.9803
2011-02-11,0.9803,1.0899,0.9264,1.07
2011-02-14,1.05,1.08,1.033,1.07
2011-02-15,1.07,1.085,1.035,1.05
2011-02-16,1.05,1.0502,1.0201,1.045
2011-02-17,1.045,1.0502,1.02,1.04
2011-02-18,1.04,1.0402,0.7801,0.8989
2011-02-21,0.85,0.8796,0.8313,0.8345
2011-02-22,0.8345,0.95,0.8313,0.8702
2011-02-23,0.8702,0.945,0.8681,0.9
2011-02-24,0.9,1,0.9,0.9974
2011-02-25,0.9974,0.9998,0.9111,0.9111
2011-02-28,0.89,0.92,0.845,0.86
2011-03-01,0.86,0.97,0.8502,0.9202
2011-03-02,0.9202,0.94,0.9102,0.9399
2011-03-03,0.9399,0.9399,0.91,0.9391
2011-03-04,0.9391,0.9391,0.9001,0.901
2011-03-07,0.8999,0.909,0.846,0.885
2011-03-08,0.885,0.885,0.85,0.87
2011-03-09,0.87,0.87,0.85,0.8645
2011-03-10,0.8645,0.9329,0.8497,0.9329
2011-03-11,0.9329,0.9329,0.8601,0.88
2011-03-14,0.8925,0.9,0.88,0.8949
2011-03-15,0.8949,0.8949,0.87,0.87
2011-03-16,0.87,0.88,0.836,0.86
2011-03-17,0.86,0.88,0.81,0.8254
2011-03-18,0.8254,0.8506,0.71,0.8165
2011-03-21,0.7411,0.7724,0.7405,0.759
2011-03-22,0.759,0.81,0.7405,0.809
2011-03-23,0.809,0.85,0.78,0.8497
2011-03-24,0.8497,0.9,0.8266,0.8669
2011-03-25,0.8669,0.89,0.861,0.8838
2011-03-28,0.82,0.85,0.76,0.799
2011-03-29,0.799,0.7997,0.7648,0.7925
2011-03-30,0.7925,0.795,0.766,0.7897
2011-03-31,0.7897,0.801,0.768,0.7846
2011-04-01,0.7846,0.797,0.7741,0.7741
2011-04-04,0.779,0.785,0.5619,0.68
2011-04-05,0.68,0.7478,0.58,0.71
2011-04-06,0.71,0.75,0.6902,0.74
2011-04-07,0.74,0.7849,0.7205,0.7538
2011-04-08,0.7538,0.799,0.7309,0.75
2011-04-11,0.7369,0.799,0.7103,0.77
2011-04-12,0.77,0.899,0.77,0.86
2011-04-13,0.86,1,0.86,0.9225
2011-04-14,0.9225,1,0.91,1
2011-04-15,1,1.09,0.911,0.9899
2011-04-18,1.1123,1.1999,1.1103,1.162
2011-04-19,1.162,1.1979,1.1436,1.1979
2011-04-20,1.1979,1.1979,1.13,1.1421
2011-04-21,1.1421,1.21,1.14,1.21
2011-04-22,1.21,1.41,1.189,1.409
2011-04-25,1.6301,1.701,1.5211,1.559
2011-04-26,1.559,1.7949,1.53,1.7949
2011-04-27,1.7949,1.95,1.72,1.9
2011-04-28,1.9,2.65,1.66,2.2106
2011-04-29,2.2106,2.95,2.21,2.88
2011-05-02,3.0331,3.495,3.029,3.2
2011-05-03,3.2,3.49,3.11,3.41
2011-05-04,3.41,3.58,3.25,3.4061
2011-05-05,3.4061,3.4498,3.333,3.333
2011-05-06,3.333,3.61,3.29,3.45
2011-05-09,3.8659,3.9,3.6905,3.8
2011-05-10,3.8,5.99,3.8,5.81
2011-05-11,5.81,6.065,4.6,5.5
2011-05-12,5.5,6.49,5.22,6.3002
2011-05-13,6.3002,8.45,6.3002,8.198
2011-05-16,6.987,8.5,6.75,8.0339
2011-05-17,8.0339,8.389,6.9799,7.19
2011-05-18,7.19,7.5,6.6,6.88
2011-05-19,6.88,7.34,6.6071,6.805
2011-05-20,6.805,7.1,5.5772,5.5904
2011-05-23,6.6901,7.45,6.69,7.1499
2011-05-24,7.1499,7.51,6.96,7.42
2011-05-25,7.42,9.33,7.2161,8.3997
2011-05-26,8.3997,8.9869,8.01,8.798
2011-05-27,8.798,8.83,8.5002,8.5002
2011-05-30,8.4299,9,8.25,8.8
2011-05-31,8.8,9.4998,8.1,8.741
2011-06-01,8.741,9.699,8.3,9.57
2011-06-02,9.57,10.888,9.5,10.6
2011-06-03,10.6,14.499,10.575,14.29
2011-06-06,16.7,19.23,16.451,18.55
2011-06-07,18.55,24.32,18.26,23.923
2011-06-08,23.923,31.91,22.214,29.6
2011-06-09,29.6,31.5,26.151,28.919
2011-06-10,28.919,29.399,20.01,23.95
2011-06-13,18.546,24.5,16,19.84
2011-06-14,19.84,20.5,18.001,19.28
2011-06-15,19.28,20,19.022,19.49
2011-06-16,19.49,19.89,17,17
2011-06-17,17,18.34,13,15.681
2011-06-27,16.45,18,15,16.75
2011-06-28,16.75,17.52,16.5,16.95
2011-06-29,16.95,17.2,16.666,16.845
2011-06-30,16.845,17,15.73,16.101
2011-07-01,16.101,16.74,15.26,15.397
2011-07-04,15.441,15.49,13.14,13.86
2011-07-05,13.86,15,11,12.907
2011-07-06,12.907,16.5,12.671,14.784
2011-07-07,14.784,15.9,14.5,14.776
2011-07-08,14.776,15.643,13.902,14.314
2011-07-11,14.9,15.2,13.8,14.209
2011-07-12,14.209,14.64,13.9,14.009
2011-07-13,14.009,14.15,13.91,13.951
2011-07-14,13.951,14.07,13.7,13.99
2011-07-15,13.99,14.09,13.502,13.81
2011-07-18,13.16,13.915,12.51,13.48
2011-07-19,13.48,14.7,13.44,13.85
2011-07-20,13.85,14,13.4,13.689
2011-07-21,13.689,13.78,13.4,13.61
2011-07-22,13.61,13.81,13.45,13.695
2011-07-25,13.98,14.723,13.76,14.048
2011-07-26,14.048,14.051,13.768,13.882
2011-07-27,13.882,14.13,13.85,13.939
2011-07-28,13.939,13.939,13.312,13.49
2011-07-29,13.49,13.7,13.33,13.498
2011-08-01,13.35,13.55,12.85,13.095
2011-08-02,13.095,13.1,11.5,12.05
2011-08-03,12.05,12.16,8.7,9.26
2011-08-04,9.26,11.15,9.26,10.75
2011-08-05,10.75,10.99,9.5,9.8
2011-08-08,7.9,8.16,7.055,7.7999
2011-08-09,7.7999,12.1,7.671,9.99
2011-08-10,9.99,10.4,9.5,9.98
2011-08-11,9.98,10.496,8.451,9.4625
2011-08-12,9.4625,9.8,8.91,9.4605
2011-08-15,10.796,11.89,10.722,11.15
2011-08-16,11.15,11.32,10.811,10.964
2011-08-17,10.964,11.1,10.661,10.946
2011-08-18,10.946,11.05,10.81,10.83
2011-08-19,10.83,11.81,10.83,11.65
2011-08-22,11.311,11.501,10.51,10.895
2011-08-23,10.895,11.3,10.809,10.94
2011-08-24,10.94,11.083,10.831,10.851
2011-08-25,10.851,10.891,9.1,9.657
2011-08-26,9.657,9.889,7.642,8.1794
2011-08-29,9.0701,9.2703,8.65,8.969
2011-08-30,8.969,9,8.55,8.7913
2011-08-31,8.7913,8.7913,8.01,8.1995
2011-09-01,8.1995,8.3599,8.1,8.21
2011-09-02,8.21,8.7138,8.21,8.64
2011-09-05,8.178,8.1914,7.25,7.611
2011-09-06,7.611,7.6571,6.122,6.8628
2011-09-07,6.8628,7.5992,6.53,7.1864
2011-09-08,7.1864,7.1979,6.5124,6.53
2011-09-09,6.53,6.5769,4.18,5.03
2011-09-12,5.8644,6.5821,5.4121,6.078
2011-09-13,6.078,6.085,5.7,5.8
2011-09-14,5.8,5.8473,5.3249,5.6193
2011-09-15,5.6193,5.6193,4.44,4.84
2011-09-16,4.84,4.99,4.61,4.82
2011-09-19,5.2,5.644,4.9,5.46
2011-09-20,5.46,6.795,5.4511,6.1119
2011-09-21,6.1119,6.2866,5.06,5.6114
2011-09-22,5.6114,5.83,5.29,5.4278
2011-09-23,5.4278,5.7065,5.4145,5.5451
2011-09-26,5.33,5.4,4.721,4.8697
2011-09-27,4.8697,5.1302,4.781,4.9156
2011-09-28,4.9156,4.969,4.625,4.7725
2011-09-29,4.7725,4.8,4.6742,4.7794
2011-09-30,4.7794,5.35,4.743,5.1401
2011-10-03,5.027,5.0399,4.8889,5.024
2011-10-04,5.024,5.025,4.9193,4.96
2011-10-05,4.96,5.025,4.8312,4.87
2011-10-06,4.87,4.9,4.4989,4.7344
2011-10-07,4.7344,4.7958,3.7819,4.2728
2011-10-10,4.1029,4.2,4.0104,4.1
2011-10-11,4.1,4.1,3.8496,3.9308
2011-10-12,3.9308,4.45,3.901,4.15
2011-10-13,4.15,4.2,4.002,4.0462
2011-10-14,4.0462,4.1146,3.9481,3.9879
2011-10-17,3.557,3.74,2.26,2.56
2011-10-18,2.56,2.9,2.31,2.419
2011-10-19,2.419,2.536,2.0401,2.27
2011-10-20,2.27,2.3908,2.22,2.348
2011-10-21,2.348,2.72,2.327,2.57
2011-10-24,3.17,3.1948,2.481,2.545
2011-10-25,2.545,3.04,2.4403,2.77
2011-10-26,2.77,2.8485,2.6502,2.773
2011-10-27,2.773,3.09,2.7311,3.04
2011-10-28,3.04,3.255,2.905,3.19
2011-10-31,3.27,3.3159,3.066,3.248
2011-11-01,3.248,3.35,3.07,3.15
2011-11-02,3.15,3.44,3.141,3.2543
2011-11-03,3.2543,3.28,3.1,3.152
2011-11-04,3.152,3.21,3.0111,3.109
2011-11-07,2.9596,3.0325,2.95,3.0068
2011-11-08,3.0068,3.21,3.0058,3.035
2011-11-09,3.035,3.11,2.8866,2.95
2011-11-10,2.95,2.969,2.8001,2.8399
2011-11-11,2.8399,3.11,2.823,3.08
2011-11-14,2.9969,2.9969,2.1,2.22
2011-11-15,2.22,2.49,2.11,2.329
2011-11-16,2.329,2.6003,2.301,2.5604
2011-11-17,2.5604,2.5885,1.994,2.25
2011-11-18,2.25,2.39,2,2.05
2011-11-21,2.2,2.3113,2.17,2.294
2011-11-22,2.294,2.35,2.25,2.3289
2011-11-23,2.3289,2.38,2.27,2.3321
2011-11-24,2.3321,2.56,2.3053,2.4321
2011-11-25,2.4321,2.5278,2.374,2.5061
2011-11-28,2.4799,2.55,2.44,2.55
2011-11-29,2.55,2.981,2.5403,2.7502
2011-11-30,2.7502,3.09,2.7323,2.9701
2011-12-01,2.9701,3.14,2.9289,3.06
2011-12-02,3.06,3.138,3.035,3.1151
2011-12-05,2.8281,2.93,2.7807,2.8798
2011-12-06,2.8798,3.05,2.8701,3.03
2011-12-07,3.03,3.082,2.9324,2.99
2011-12-08,2.99,3.0063,2.8842,2.98
2011-12-09,2.98,3.039,2.9347,2.97
2011-12-12,3.2511,3.2901,3.0841,3.135
2011-12-13,3.135,3.25,3.135,3.2499
2011-12-14,3.2499,3.2499,2.994,3.15
2011-12-15,3.15,3.2145,3.11,3.2
2011-12-16,3.2,3.22,3.15,3.2
2011-12-19,3.193,3.7004,3.1893,3.5202
2011-12-20,3.5202,4.5,3.483,3.95
2011-12-21,3.95,4.04,3.81,3.89
2011-12-22,3.89,3.992,3.509,3.8901
2011-12-23,3.8901,3.95,3.815,3.9468
2011-12-26,4.225,4.3126,3.81,4.018
2011-12-27,4.018,4.0998,3.962,4.07
2011-12-28,4.07,4.25,3.99,4.1855
2011-12-29,4.1855,4.33,4.116,4.166
2011-12-30,4.166,4.3,4.0633,4.248
2012-01-02,5.2677,5.47,4.8,5.2168
2012-01-03,5.2168,5.29,4.65,4.8808
2012-01-04,4.8808,5.7,4.751,5.5738
2012-01-05,5.5738,7.22,5.5738,6.9476
2012-01-06,6.9476,7.21,6.1261,6.6969
2012-01-09,7.1136,7.191,5.81,6.3257
2012-01-10,6.3257,6.89,6.001,6.36
2012-01-11,6.36,7.138,6.36,6.9
2012-01-12,6.9,6.997,6.337,6.8
2012-01-13,6.8,6.804,6.4,6.41
2012-01-16,7.0018,7.1889,6.511,6.6825
2012-01-17,6.6825,6.95,4.64,5.6
2012-01-18,5.6,6.95,5.1,5.92
2012-01-19,5.92,6.3608,5.8728,6.3598
2012-01-20,6.3598,6.58,6.258,6.4898
2012-01-23,6.3097,6.389,6.212,6.356
2012-01-24,6.356,6.394,6.219,6.2898
2012-01-25,6.2898,6.322,5.502,5.75
2012-01-26,5.75,5.92,5.3,5.34
2012-01-27,5.34,5.51,5.05,5.292
2012-01-30,5.3809,5.6,5.3669,5.4905
2012-01-31,5.4905,5.65,5.426,5.4838
2012-02-01,5.4838,6.2,5.4678,6.0756
2012-02-02,6.0756,6.199,5.823,6.1
2012-02-03,6.1,6.1401,5.7187,5.9593
2012-02-06,5.6888,5.72,5.45,5.4535
2012-02-07,5.4535,5.78,5.45,5.69
2012-02-08,5.69,5.8494,5.3,5.6
2012-02-09,5.6,5.915,5.5,5.83
2012-02-10,5.83,5.985,5.8012,5.9126
2012-02-13,5.5147,5.72,5.2,5.26
2012-02-14,5.26,5.4513,4.2121,4.4629
2012-02-15,4.4629,4.88,4.2001,4.3251
2012-02-16,4.3251,4.444,3.878,4.2739
2012-02-17,4.2739,4.77,4.2281,4.41
2012-02-20,4.3867,4.47,4.2902,4.3615
2012-02-21,4.3615,4.3975,4.212,4.272
2012-02-22,4.272,4.54,4.271,4.4247
2012-02-23,4.4247,5.1978,4.42,5.015
2012-02-24,5.015,5.1,4.825,5.0288
2012-02-27,4.922,4.99,4.89,4.956
2012-02-28,4.956,5,4.735,4.868
2012-02-29,4.868,4.9,4.8,4.86
2012-03-01,4.86,4.9889,4.86,4.9213
2012-03-02,4.9213,4.95,4.51,4.705
2012-03-05,4.82,5.05,4.82,4.9843
2012-03-06,4.9843,5.07,4.9,4.9901
2012-03-07,4.9901,5.05,4.84,4.9375
2012-03-08,4.9375,5,4.7551,4.9302
2012-03-09,4.9302,4.949,4.821,4.8611
2012-03-12,4.91,4.95,4.8561,4.8901
2012-03-13,4.8901,5.41,4.8651,5.27
2012-03-14,5.27,5.45,5.2517,5.38
2012-03-15,5.38,5.445,5.255,5.3266
2012-03-16,5.3266,5.4,5.3,5.3439
2012-03-19,5.2794,5.3099,4.5,4.6939
2012-03-20,4.6939,4.9,4.5878,4.8379
2012-03-21,4.8379,4.87,4.75,4.8149
2012-03-22,4.8149,4.88,4.5977,4.7043
2012-03-23,4.7043,4.79,4.6,4.686
2012-03-26,4.55,4.7379,4.5159,4.6191
2012-03-27,4.6191,4.8459,4.49,4.8113
2012-03-28,4.8113,4.8365,4.721,4.788
2012-03-29,4.788,4.8609,4.71,4.8084
2012-03-30,4.8084,4.88,4.717,4.86
2012-04-02,4.827,5.08,4.76,4.974
2012-04-03,4.974,4.995,4.81,4.952
2012-04-04,4.952,4.97,4.89,4.9101
2012-04-05,4.9101,4.935,4.87,4.919
2012-04-06,4.919,4.98,4.88,4.9499
2012-04-09,4.7925,4.879,4.7316,4.8719
2012-04-10,4.8719,4.9,4.7639,4.8367
2012-04-11,4.8367,4.98,4.7911,4.9279
2012-04-12,4.9279,4.946,4.8427,4.9197
2012-04-13,4.9197,4.9446,4.73,4.94
2012-04-16,4.9689,4.979,4.9099,4.932
2012-04-17,4.932,5.0221,4.925,4.9759
2012-04-18,4.9759,5.1782,4.96,5.1178
2012-04-19,5.1178,5.19,5.1,5.1377
2012-04-20,5.1377,5.48,5.101,5.35
2012-04-23,5.2035,5.218,4.96,4.96
2012-04-24,4.96,5.2,4.952,5.0982
2012-04-25,5.0982,5.18,5.0358,5.1318
2012-04-26,5.1318,5.1749,4.99,5.0976
2012-04-27,5.0976,5.124,5.0321,5.1095
2012-04-30,4.9044,5,4.87,4.9491
2012-05-01,4.9491,5,4.916,5
2012-05-02,5,5.1789,4.97,5.0737
2012-05-03,5.0737,5.184,5.02,5.1344
2012-05-04,5.1344,5.15,5.067,5.067
2012-05-07,5.0499,5.0957,4.9711,5.06
2012-05-08,5.06,5.1,4.96,5.05
2012-05-09,5.05,5.0961,5,5.0437
2012-05-10,5.0437,5.125,4.8028,4.85
2012-05-11,4.85,5,4.801,4.96
2012-05-14,4.93,5.036,4.9,5.0059
2012-05-15,5.0059,5.04,4.9512,5.035
2012-05-16,5.035,5.1345,5,5.0887
2012-05-17,5.0887,5.1,5.0515,5.0998
2012-05-18,5.0998,5.13,5.0615,5.118
2012-05-21,5.09,5.13,5.0623,5.0998
2012-05-22,5.0998,5.115,5.0495,5.0988
2012-05-23,5.0988,5.165,5.065,5.1397
2012-05-24,5.1397,5.1489,5.0701,5.119
2012-05-25,5.119,5.15,5.102,5.1455
2012-05-28,5.139,5.16,5.11,5.1358
2012-05-29,5.1358,5.1589,5.015,5.15
2012-05-30,5.15,5.1725,5.1,5.135
2012-05-31,5.135,5.2,5.1121,5.1801
2012-06-01,5.1801,5.279,5.1801,5.2748
2012-06-04,5.2051,5.2785,5.18,5.266
2012-06-05,5.266,5.5,5.2235,5.44
2012-06-06,5.44,5.49,5.3895,5.46
2012-06-07,5.46,5.5936,5.41,5.591
2012-06-08,5.591,5.66,5.5599,5.633
2012-06-11,5.4683,5.6,5.4324,5.5747
2012-06-12,5.5747,5.75,5.5,5.7
2012-06-13,5.7,5.96,5.66,5.929
2012-06-14,5.929,5.9742,5.808,5.9541
2012-06-15,5.9541,6.587,5.883,6.5
2012-06-18,6.1638,6.36,6.03,6.31
2012-06-19,6.31,6.5329,6.281,6.4988
2012-06-20,6.4988,6.7103,6.45,6.67
2012-06-21,6.67,6.8,6.561,6.6801
2012-06-22,6.6801,6.7996,6.4277,6.5478
2012-06-25,6.35,6.4455,6.2175,6.3048
2012-06-26,6.3048,6.47,6.2889,6.4195
2012-06-27,6.4195,6.65,6.4,6.647
2012-06-28,6.647,6.669,6.49,6.6059
2012-06-29,6.6059,6.6792,6.542,6.65
2012-07-02,6.629,6.765,6.5778,6.76
2012-07-03,6.76,6.76,6.4,6.4499
2012-07-04,6.4499,6.55,6.4499,6.5101
2012-07-05,6.5101,6.77,6.481,6.67
2012-07-06,6.67,6.72,6.55,6.6481
2012-07-09,6.799,7.1,6.7426,7.0215
2012-07-10,7.0215,7.25,6.96,7.1999
2012-07-11,7.1999,7.257,7.0178,7.15
2012-07-12,7.15,7.9,7.1,7.7644
2012-07-13,7.7644,7.8164,7.4201,7.6651
2012-07-16,7.621,8.65,7.6178,8.4996
2012-07-17,8.4996,9.49,7.3215,8.8
2012-07-18,8.8,9.399,8.5,9.1098
2012-07-19,9.1098,9.2335,8.8183,8.87
2012-07-20,8.87,8.87,7.6,8.52
2012-07-23,8.4096,9.2,7.75,8.4457
2012-07-24,8.4457,8.8499,8.34,8.6
2012-07-25,8.6,8.9,8.3688,8.8
2012-07-26,8.8,8.901,8.6,8.9
2012-07-27,8.9,8.95,8.8142,8.9
2012-07-30,8.7103,9.15,8.7,9.098
2012-07-31,9.098,9.44,9.0788,9.35
2012-08-01,9.35,9.65,9.111,9.55
2012-08-02,9.55,11,9.412,10.53
2012-08-03,10.53,11.12,10.3,10.97
2012-08-06,10.87,11.19,10.635,10.855
2012-08-07,10.855,11.1,10.651,11.1
2012-08-08,11.1,11.15,10.85,11.055
2012-08-09,11.055,12,10.8,11.061
2012-08-10,11.061,11.6,11.01,11.386
2012-08-13,11.624,12.05,11.492,12.038
2012-08-14,12.038,12.34,11.895,12.19
2012-08-15,12.19,13.25,12.161,13.25
2012-08-16,13.25,13.841,12.5,13.5
2012-08-17,13.5,15.4,10.6,11.584
2012-08-20,8,10.5,7.8101,10.1
2012-08-21,10.1,10.3,9.699,9.915
2012-08-22,9.915,10.1,9.571,9.807
2012-08-23,9.807,10.25,9.705,10.1
2012-08-24,10.1,10.619,9.852,10.6
2012-08-27,10.61,12.15,10.544,10.95
2012-08-28,10.95,11.21,10.5,10.94
2012-08-29,10.94,11.134,10.55,10.917
2012-08-30,10.917,10.932,10.6,10.777
2012-08-31,10.777,10.829,9.66,10.16
2012-09-03,10.204,10.593,10.089,10.53
2012-09-04,10.53,10.53,10.15,10.385
2012-09-05,10.385,11.17,10.261,11
2012-09-06,11,11.29,10.64,11.181
2012-09-07,11.181,11.21,10.954,11
2012-09-10,11.02,11.192,10.875,11.17
2012-09-11,11.17,11.35,10.878,11.331
2012-09-12,11.331,11.39,10.78,11.365
2012-09-13,11.365,11.399,11.22,11.399
2012-09-14,11.399,11.799,11.321,11.67
2012-09-17,11.87,11.963,11.766,11.89
2012-09-18,11.89,12.346,11.84,12.25
2012-09-19,12.25,12.687,12.15,12.573
2012-09-20,12.573,12.66,12.25,12.283
2012-09-21,12.283,12.5,12.011,12.368
2012-09-24,12.193,12.299,11.951,12.1
2012-09-25,12.1,12.229,12.008,12.197
2012-09-26,12.197,12.46,12.02,12.27
2012-09-27,12.27,12.395,12.207,12.309
2012-09-28,12.309,12.45,12.12,12.391
2012-10-01,12.4,12.481,12.321,12.4
2012-10-02,12.4,12.88,12.344,12.84
2012-10-03,12.84,12.99,12.68,12.89
